Sample,X(ms) [24.10.0049 10:10:51 348 UTC],CurrentSetpoint[°C],ScaledInput[°C],OutputHeat[%],OutputCool[%]
321,100332.489900,60,59.2158508300781,21.0610694885254,0
322,100645.183000,60,59.1941604614258,22.0628108978271,0
323,101004.239100,60,59.1688385009766,23.0040302276611,0
324,101301.044100,60,59.1615982055664,24.056360244751,0
325,101613.648100,60,59.1615982055664,25.5394306182861,0
326,101910.411100,60,59.1724510192871,26.4828796386719,0
327,102207.263300,60,59.1869201660156,26.9144897460938,0
328,102519.560000,60,59.2086181640625,28.3454494476318,0
329,102832.039500,60,59.2737312316895,29.0628204345703,0
330,103144.524900,60,59.3279800415039,29.7924404144287,0
331,103472.551300,60,59.3677711486816,30.7863292694092,0
332,103769.191500,60,59.4111709594727,31.3746604919434,0
333,104081.608900,60,59.4798889160156,31.8236904144287,0
334,104394.062800,60,59.5558395385742,32.235179901123,0
335,104706.523400,60,59.6064796447754,32.6045799255371,0
336,105018.913500,60,59.7475395202637,32.7984504699707,0
337,105362.587500,60,59.8054084777832,32.9258804321289,0
338,105675.194200,60,59.892219543457,33.018310546875,0
339,105971.886200,60,59.9500885009766,32.9636993408203,0
340,106268.792100,60,60.0115699768066,32.8380889892578,0
341,106627.917600,60,60.0947608947754,32.5788688659668,0
342,106940.314000,60,60.2322006225586,32.110710144043,0
343,107239.058100,60,60.2864608764648,31.5479202270508,0
344,107536.047700,60,60.3334808349609,31.0649604797363,0
345,107827.938100,60,60.44921875,30.3290901184082,0
346,108140.283900,60,60.5070915222168,29.7618103027344,0
347,108449.980100,60,60.5432586669922,28.9201908111572,0
348,108762.327800,60,60.5758094787598,28.2283897399902,0
349,109074.647800,60,60.6156005859375,27.4291896820068,0
350,109402.889900,60,60.6662292480469,26.3913803100586,0
351,109699.691000,60,60.6770782470703,25.702579498291,0
352,110058.792500,60,60.687931060791,24.9479103088379,0
353,110355.674900,60,60.6915512084961,23.7820491790771,0
354,110652.404500,60,60.6915512084961,23.0628299713135,0
355,110965.050600,60,60.669849395752,22.1428298950195,0
356,111261.787800,60,60.6553802490234,21.423849105835,0
357,111574.276200,60,60.6372985839844,20.6035995483398,0
358,111886.704700,60,60.601131439209,19.9073905944824,0
359,112199.105600,60,60.5721893310547,19.3597507476807,0
360,112558.245900,60,60.5432586669922,18.778169631958,0
361,112870.663900,60,60.492618560791,18.3155498504639,0
362,113183.095300,60,60.4130516052246,17.9115695953369,0
363,113464.367200,60,60.3515586853027,17.3427104949951,0
364,113776.763000,60,60.3045387268066,17.0862503051758,0
365,114089.214100,60,60.1888008117676,17.0274906158447,0
366,114401.632000,0,60.1417808532715,0,0
367,114714.067300,0,60.0694389343262,0,0
368,115026.438500,0,59.9103012084961,0,0
369,115338.996600,0,59.7511596679688,0,0
370,115651.266800,0,59.3532981872559,0,0
371,116026.168500,0,59.1181983947754,0,0
372,116296.826300,0,58.9626693725586,0,0
373,116578.143500,0,58.8071517944336,0,0
374,116890.626500,0,58.5720481872559,0,0
375,117218.661200,0,58.1886596679688,0,0
376,117515.407000,0,58.036750793457,0,0
377,117827.897000,0,57.8088798522949,0,0
378,118140.336600,0,57.6569709777832,0,0
379,118452.568700,0,57.5086784362793,0,0
380,118764.998300,0,57.2844314575195,0,0
381,119077.451600,0,56.9118881225586,0,0
382,119390.039100,0,56.763599395752,0,0
383,119702.419800,0,56.54296875,0,0
384,120014.899100,0,56.3982887268066,0,0
385,120327.282400,0,56.2536201477051,0,0
386,120639.702300,0,56.0365982055664,0,0
387,120951.979200,0,55.6749114990234,0,0
388,121255.942200,0,55.5338592529297,0,0
389,121568.473800,0,55.3927993774414,0,0
390,121880.928700,0,55.1794013977051,0,0
391,122193.334000,0,55.0383415222168,0,0
392,122505.779700,0,54.8285598754883,0,0
393,122824.195300,0,54.5500602722168,0,0
394,123121.127700,0,54.3438911437988,0,0
395,123433.624700,0,54.2064514160156,0,0
396,123746.058400,0,54.0039100646973,0,0
397,124058.472800,0,53.7326393127441,0,0
398,124370.848100,0,53.7326393127441,0,0
399,124683.330300,0,53.3962707519531,0,0
400,124995.767100,0,53.197338104248,0,0
401,125308.155600,0,53.0635108947754,0,0
402,125620.419400,0,52.9296913146973,0,0
403,125932.845900,0,52.7343788146973,0,0
404,126255.179300,0,52.4088592529297,0,0
405,126567.867300,0,52.2786407470703,0,0
406,126864.607100,0,52.0833282470703,0,0
407,127177.019100,0,51.9567413330078,0,0
408,127489.268800,0,51.7650489807129,0,0
409,127801.888200,0,51.5118598937988,0,0
410,128114.316400,0,51.3237800598145,0,0
411,128426.704400,0,51.1971893310547,0,0
412,128739.133700,0,51.0127296447754,0,0
413,129051.601600,0,50.8861389160156,0,0
414,129364.012800,0,50.5787010192871,0,0
415,129676.293800,0,50.4557304382324,0,0
416,129988.893500,0,50.2748794555664,0,0
417,130303.807100,0,50.1555290222168,0,0
418,130616.046800,0,49.8553199768066,0,0
419,130928.617900,0,49.8553199768066,0,0
420,131240.928900,0,49.6166114807129,0,0
421,131553.506400,0,49.439380645752,0,0
422,131865.902500,0,49.3200187683105,0,0
423,132178.180300,0,49.146411895752,0,0
424,132506.417000,0,48.9113082885742,0,0
425,132818.704800,0,48.7377014160156,0,0
426,133115.592400,0,48.6255798339844,0,0
427,133427.989000,0,48.4519691467285,0,0
428,133740.506300,0,48.3398399353027,0,0
429,134052.940400,0,48.2277183532715,0,0
430,134365.321100,0,48.0577201843262,0,0
431,134677.651300,0,47.7792205810547,0,0
432,134990.212100,0,47.6670989990234,0,0
433,135302.637600,0,47.5007209777832,0,0
434,135614.993100,0,47.392219543457,0,0
435,135927.511800,0,47.2800903320313,0,0
436,136239.758500,0,47.0088195800781,0,0
